0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
0.0,0.0,-1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,-2.0,2.0,0.0,-2.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0
0.0,42.0,46.0,36.0,3.0,2.0,4.0,8.0,44.0,57.0,68.0,62.0,0.0,-1.0,64.0,80.0,1.0,78.0,80.0,82.0,1.0,1.0,104.0
0.0,6.0,15.0,16.0,4.0,0.0,0.0,0.0,-7.0,-3.0,1.0,6.0,0.0,0.0,6.0,5.0,2.0,1.0,4.0,1.0,5.0,-1.0,7.0
2.0,-6.0,-12.0,-19.0,2.0,0.0,0.0,5.0,1.0,-5.0,1.0,8.0,0.0,-3.0,-1.0,-3.0,7.0,-1.0,2.0,-1.0,3.0,2.0,2.0
0.0,-5.0,-14.0,-2.0,8.0,1.0,-2.0,-2.0,-1.0,-3.0,-1.0,0.0,0.0,7.0,-4.0,-5.0,1.0,-6.0,-3.0,0.0,2.0,0.0,0.0
0.0,-13.0,-5.0,-3.0,18.0,0.0,3.0,-4.0,2.0,-6.0,-3.0,1.0,1.0,-3.0,1.0,-2.0,0.0,2.0,1.0,8.0,-3.0,-2.0,-5.0
2.0,-5.0,-15.0,-7.0,1.0,0.0,2.0,-6.0,-7.0,0.0,-3.0,-43.0,-3.0,6.0,0.0,-2.0,-1.0,-2.0,0.0,-6.0,4.0,0.0,-7.0
0.0,1.0,0.0,-7.0,20.0,-1.0,6.0,1.0,-1.0,-2.0,-1.0,-13.0,9.0,3.0,0.0,-2.0,-4.0,0.0,-2.0,0.0,0.0,5.0,-2.0
2.0,-3.0,-1.0,-2.0,-12.0,-4.0,0.0,4.0,-3.0,0.0,0.0,0.0,-2.0,9.0,-3.0,-2.0,-2.0,2.0,2.0,-30.0,-4.0,1.0,-32.0
-2.0,-1.0,0.0,0.0,-2.0,0.0,-9.0,-1.0,-2.0,-2.0,-2.0,0.0,-1.0,5.0,-5.0,-13.0,-2.0,-10.0,-13.0,-1.0,-3.0,9.0,-8.0
1.0,0.0,-5.0,-2.0,-8.0,0.0,0.0,-10.0,-31.0,-18.0,-31.0,2.0,-4.0,-7.0,-35.0,-57.0,2.0,-54.0,-55.0,-2.0,-2.0,5.0,0.0
1.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,-1.0,2.0,0.0,-12.0,-8.0,0.0,-1.0,-4.0,-8.0,-1.0,2.0,2.0,0.0
-2.0,0.0,-5.0,-7.0,0.0,0.0,0.0,-6.0,1.0,2.0,0.0,-2.0,2.0,0.0,-4.0,-1.0,-1.0,-8.0,-4.0,0.0,0.0,-6.0,7.0
-4.0,2.0,0.0,-1.0,1.0,0.0,2.0,-1.0,0.0,0.0,1.0,-2.0,4.0,-5.0,0.0,-2.0,-2.0,0.0,2.0,0.0,1.0,-7.0,-1.0
-4.0,-2.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,-1.0,2.0,4.0,-2.0,0.0,2.0,-6.0,-4.0
-2.0,-2.0,2.0,0.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,1.0,0.0,5.0,0.0,-6.0,0.0,-2.0,-2.0,-2.0,0.0,3.0,-1.0,1.0
0.0,-2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,1.0,-2.0,2.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,2.0,-1.0
